judet,nume,xy,vaci,oi,capre,porci,oameni
Alba,Alba Iulia,"389301,508713",376,1997,353,518,65091
Alba,Barabant,"390229,512013",219,907,98,305,2145
Alba,Micesti,"387973,512288",128,1065,199,150,1420
Alba,Oarda,"390212,503499",163,2672,39,623,1830
Alba,Paclisa,"385454,506273",143,1875,12,347,682
Alba,Ciugud,"392297,506058",28,1018,30,230,423
Alba,Drambar,"393697,509427",98,48,6,471,372
Alba,Dumbrava,"391107,505404",49,70,0,122,290
Alba,Hapria,"396668,509771",94,342,36,140,507
Alba,Seusa,"393486,507573",244,196,4,275,606
Alba,Teleac,"393769,510792",89,209,0,173,385
Alba,Abrud,"350387,532371",1184,466,395,272,4820
Alba,Aiud,"400950,535289",1076,2634,600,226,24619
Alba,Aiudul de Sus,"398822,536016",173,395,15,34,2276
Alba,Gambas,"401453,539308",328,322,0,92,578
Alba,Magina,"395798,538745",82,11,199,1,628
Alba,Pagida,"403087,538638",46,609,108,45,165
Alba,Ciumbrud,"404347,534990",111,1390,0,63,1504
Alba,Garbova de Jos,"397096,529656",201,230,109,119,464
Alba,Garbova de Sus,"393611,533421",13,0,0,0,357
Alba,Garbovita,"394997,532235",30,97,0,0,164
Alba,Sancrai,"403539,533428",40,761,0,17,1023
Alba,Blaj,"416688,520245",1933,2363,7,4265,15714
Alba,Petrisat,"416286,522063",101,97,0,242,316
Alba,Tiur,"413935,518394",420,2230,0,281,1765
Alba,Veza,"416691,519177",92,0,0,0,1568
Alba,Manarade,"420056,516254",650,2050,0,270,865
Alba,Spatac,"417892,515950",4,629,0,5,110
Alba,Campeni,"349673,542427",817,261,28,291,5704
Alba,Boncesti,"351235,541880",62,0,0,5,165
Alba,Borlesti,"346226,547468",120,12,0,32,141
Alba,Botesti,"346150,544626",135,7,2,19,158
Alba,Certege,"347793,547929",177,65,0,224,97
Alba,Coasta Vascului,"349892,547749",100,0,0,13,133
Alba,Dandut,"352773,541568",59,0,0,29,116
Alba,Dealu Bistrii,"350276,543582",86,0,0,28,122
Alba,Dealu Capsei,"350943,546847",211,31,2,77,318
Alba,Dric,"349216,546823",196,26,0,173,154
Alba,Fata Abrudului,"350125,540612",108,108,0,26,161
Alba,Floresti,"347200,545321",134,0,0,53,179
Alba,Furduiesti,"351665,539150",180,0,8,87,96
Alba,Mihoesti,"347717,543037",69,65,0,7,186
Alba,Motorasti,"348941,543787",108,0,0,20,108
Alba,Peste Valea Bistrii,"348348,551295",61,16,0,10,61
Alba,Poduri,"349333,540856",121,56,0,11,152
Alba,Sorlita,"346857,543236",22,0,0,25,35
Alba,Tomusesti,"346957,552200",78,0,0,3,85
Alba,Valea Bistrii,"350944,544060",142,3,0,45,379
Alba,Valea Caselor,"348295,546157",150,51,0,6,141
Alba,Varsi,"351349,541526",51,0,0,81,187
Alba,Cugir,"373284,483096",397,1408,85,207,28780
Alba,Bocsitura,"377716,475194",53,0,0,44,87
Alba,Bucuru,"375080,477779",278,1422,0,47,141
Alba,Calene,"378215,482614",180,1238,0,20,121
Alba,Feteni,"371057,479713",107,55,0,24,119
Alba,Goasele,"380055,476467",116,701,0,29,37
Alba,Mugesti,"379488,480736",217,2009,0,148,152
Alba,Vinerea,"371746,488690",125,2608,432,164,2440
Alba,Ocna Mures,"410925,543611",503,4738,72,495,11009
Alba,Cisteiu de Mures,"408391,542643",119,21,0,64,643
Alba,Micoslaca,"406850,541847",110,22,0,0,336
Alba,Razboieni-Cetate,"412964,546563",142,1679,81,100,1508
Alba,Sebes,"388570,496326",472,5719,289,388,23227
Alba,Lancram,"387814,499580",454,1671,0,56,1487
Alba,Petresti,"388007,492233",319,1159,240,170,4120
Alba,Rahau,"392782,490193",308,3549,0,232,920
Alba,Zlatna,"362328,513917",270,4932,359,636,4446
Alba,Botesti,"356780,521771",16,189,8,38,113
Alba,Budeni,"354960,522749",8,0,1,9,88
Alba,Dealu Roatei,"356886,515339",5,84,0,4,49
Alba,Dobrot,"355891,521014",17,122,36,24,30
Alba,Dumbrava,"359800,517180",7,281,0,8,16
Alba,Fenes,"367766,513009",210,6507,84,573,1163
Alba,Galati,"367566,511372",145,2872,12,98,465
Alba,Izvoru Ampoiului,"358547,517955",189,1096,124,268,486
Alba,Patringeni,"365296,511423",94,1206,65,114,412
Alba,Pirita,"357485,516803",57,397,14,76,163
Alba,Podu lui Paul,"364330,512757",0,0,0,74,65
Alba,Runc,"362257,522909",19,0,0,17,52
Alba,Rusi,"353667,525369",78,44,0,0,66
Alba,Suseni,"364500,511986",25,591,42,90,168
