judet,nume,xy
AB,Alba Iulia,"389679,508709"
AB,Bărăbanț,"390604,512008"
AB,Micești,"388356,512283"
AB,Oarda,"390587,503496"
AB,Pâclișa,"385845,506269"
AB,Ciugud,"392665,506054"
AB,Drâmbar,"394060,509423"
AB,Limba,"391479,505400"
AB,Hăpria,"397021,509767"
AB,Șeușa,"393850,507569"
AB,Teleac,"394132,510788"
AB,Abrud,"350900,532359"
AB,Abrud-Sat,"350603,533123"
AB,Gura Cornei,"352855,530825"
AB,Soharu,"348067,532821"
AB,Aiud,"401290,535280"
AB,Aiudul de Sus,"399169,536007"
AB,Gâmbaș,"401791,539298"
AB,Măgina,"396156,538735"
AB,Păgida,"403420,538628"
AB,Ciumbrud,"404675,534981"
AB,Gârbova de Jos,"397449,529648"
AB,Gârbova de Sus,"393976,533412"
AB,Gârbovița,"395357,532226"
AB,Sâncrai,"403870,533420"
AB,Țifra,"399374,529524"
AB,Blaj,"416973,520240"
AB,Deleni-Obârșie,"411263,511236"
AB,Flitești,"412741,513280"
AB,Izvoarele,"415364,519487"
AB,Petrisat,"416573,522058"
AB,Tiur,"414229,518389"
AB,Veza,"416976,519172"
AB,Mănărade,"420329,516250"
AB,Spătac,"418173,515946"
AB,Câmpeni,"350189,542413"
AB,Boncești,"351745,541866"
AB,Borlești,"346754,547453"
AB,Botești,"346678,544611"
AB,Certege,"348316,547914"
AB,Coasta Vâscului,"350407,547734"
AB,Dănduț,"353278,541555"
AB,Dealu Bistrii,"350790,543568"
AB,Dealu Capsei,"351455,546832"
AB,Dric,"349734,546808"
AB,Fața Abrudului,"350639,540599"
AB,Florești,"347725,545306"
AB,Furduiești,"352174,539137"
AB,Mihoești,"348240,543023"
AB,Motorăști,"349459,543773"
AB,Peste Valea Bistrii,"348869,551279"
AB,Poduri,"349850,540842"
AB,Sorlița,"347383,543222"
AB,Tomușești,"347483,552184"
AB,Valea Bistrii,"351456,544046"
AB,Valea Caselor,"348816,546142"
AB,Vârși,"351859,541512"
AB,Cugir,"373715,483095"
AB,Bocșitura,"378131,475194"
AB,Bucuru,"375505,477779"
AB,Călene,"378629,482613"
AB,Fețeni,"371495,479712"
AB,Goașele,"380463,476467"
AB,Mugești,"379898,480736"
AB,Vinerea,"372183,488688"
AB,Ocna Mureș,"411231,543601"
AB,Uioara de Jos,"410661,541868"
AB,Uioara de Sus,"414021,543957"
AB,Cisteiu de Mureș,"408706,542633"
AB,Micoșlaca,"407170,541837"
AB,Războieni-Cetate,"413263,546552"
AB,Sebeș,"388950,496324"
AB,Lancrăm,"388197,499577"
AB,Petrești,"388388,492231"
AB,Răhău,"393147,490192"
AB,Zlatna,"362798,513910"
AB,Botești,"357270,521762"
AB,Budeni,"355456,522740"
AB,Dealu Roatei,"357375,515331"
AB,Dobrot,"356384,521005"
AB,Dumbrava,"360279,517172"
AB,Feneș,"368218,513003"
AB,Galați,"368018,511366"
AB,Izvoru Ampoiului,"359031,517947"
AB,Pătrângeni,"365756,511417"
AB,Pirita,"357972,516795"
AB,Pârau Gruiului,"359852,518856"
AB,Podu lui Paul,"364793,512750"
AB,Runc,"362728,522900"
AB,Ruși,"354168,525359"
AB,Suseni,"364963,511980"
AB,Trâmpoiele,"357137,518110"
AB,Valea Mică,"366866,510204"
AB,Vâltori,"362202,517628"
AB,Albac,"343715,551850"
AB,Bărăști,"345510,553078"
AB,Budăiești,"344464,555086"
AB,Cionești,"345305,554441"
AB,Costești,"339314,556120"
AB,Dealu Lămășoi,"345433,555983"
AB,Deve,"341464,553397"
AB,După Pleșe,"342016,550502"
AB,Fața,"343504,553482"
AB,Pleșești,"341223,551788"
AB,Potionci,"340853,551153"
AB,Rogoz,"343359,549594"
AB,Roșești,"341253,555151"
AB,Rusești,"343453,555406"
AB,Sohodol,"342475,554391"
AB,Tamborești,"340716,551816"
AB,Almașu Mare,"355500,512531"
AB,Almașu de Mijloc,"353545,509180"
AB,Brădet,"352763,513340"
AB,Cheile Cibului,"359337,505726"
AB,Cib,"360003,508379"
AB,Glod,"357591,508724"
AB,Nădăștia,"356892,510717"
AB,Arieșeni,"327711,555455"
AB,Avrămești,"326927,555778"
AB,Bubești,"324166,558873"
AB,Casa de Piatră,"330062,561846"
AB,Cobleș,"326253,557368"
AB,Dealu Bajului,"328790,553033"
AB,Fața Cristesei,"328343,557084"
